,Index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
10,10.0,9.994998749374608e+27,1.1173361508965404e+28,1.2490647626928537e+28,1.396323550570788e+28,1.5609434483406765e+28,1.7449712481907747e+28,1.9506950493621692e+28,2.180672707101279e+28,2.437763635608396e+28,2.7251643604024186e+28,3.046448262140095e+28,3.4056100060423247e+28,3.807115209338239e+28,4.255955964264457e+28,4.757712906961559e+28,5.318624603997914e+28,5.945665119234261e+28,6.646630725452271e+28,7.430236838871242e+28,8.306226381782724e+28,9.285490920623791e+28,1.0380206085652314e+29,1.1603982955957155e+29,1.2972037292040168e+29,1.4501378720113845e+29,1.6211022220326768e+29,1.8122224548443837e+29,2.0258748530516826e+29,2.264715851663807e+29,2.5317150667284976e+29,2.8301922178851654e+29,3.163858403911275e+29
11,11.0,9.994998749374608e+27,1.1173361508965404e+28,1.2490647626928537e+28,1.396323550570788e+28,1.5609434483406765e+28,1.7449712481907747e+28,1.9506950493621692e+28,2.180672707101279e+28,2.437763635608396e+28,2.7251643604024186e+28,3.046448262140095e+28,3.4056100060423247e+28,3.807115209338239e+28,4.255955964264457e+28,4.757712906961559e+28,5.318624603997914e+28,5.945665119234261e+28,6.646630725452271e+28,7.430236838871242e+28,8.306226381782724e+28,9.285490920623791e+28,1.0380206085652314e+29,1.1603982955957155e+29,1.2972037292040168e+29,1.4501378720113845e+29,1.6211022220326768e+29,1.8122224548443837e+29,2.0258748530516826e+29,2.264715851663807e+29,2.5317150667284976e+29,2.8301922178851654e+29,3.163858403911275e+29
12,12.0,9.994998749374608e+27,1.1173361508965404e+28,1.2490647626928537e+28,1.396323550570788e+28,1.5609434483406765e+28,1.7449712481907747e+28,1.9506950493621692e+28,2.180672707101279e+28,2.437763635608396e+28,2.7251643604024186e+28,3.046448262140095e+28,3.4056100060423247e+28,3.807115209338239e+28,4.255955964264457e+28,4.757712906961559e+28,5.318624603997914e+28,5.945665119234261e+28,6.646630725452271e+28,7.430236838871242e+28,8.306226381782724e+28,9.285490920623791e+28,1.0380206085652314e+29,1.1603982955957155e+29,1.2972037292040168e+29,1.4501378720113845e+29,1.6211022220326768e+29,1.8122224548443837e+29,2.0258748530516826e+29,2.264715851663807e+29,2.5317150667284976e+29,2.8301922178851654e+29,3.163858403911275e+29
13,13.0,9.994998749374608e+27,1.1173361508965404e+28,1.2490647626928537e+28,1.396323550570788e+28,1.5609434483406765e+28,1.7449712481907747e+28,1.9506950493621692e+28,2.180672707101279e+28,2.437763635608396e+28,2.7251643604024186e+28,3.046448262140095e+28,3.4056100060423247e+28,3.807115209338239e+28,4.255955964264457e+28,4.757712906961559e+28,5.318624603997914e+28,5.945665119234261e+28,6.646630725452271e+28,7.430236838871242e+28,8.306226381782724e+28,9.285490920623791e+28,1.0380206085652314e+29,1.1603982955957155e+29,1.2972037292040168e+29,1.4501378720113845e+29,1.6211022220326768e+29,1.8122224548443837e+29,2.0258748530516826e+29,2.264715851663807e+29,2.5317150667284976e+29,2.8301922178851654e+29,3.163858403911275e+29
14,14.0,9.994998749374608e+27,1.1173361508965404e+28,1.2490647626928537e+28,1.396323550570788e+28,1.5609434483406765e+28,1.7449712481907747e+28,1.9506950493621692e+28,2.180672707101279e+28,2.437763635608396e+28,2.7251643604024186e+28,3.046448262140095e+28,3.4056100060423247e+28,3.807115209338239e+28,4.255955964264457e+28,4.757712906961559e+28,5.318624603997914e+28,5.945665119234261e+28,6.646630725452271e+28,7.430236838871242e+28,8.306226381782724e+28,9.285490920623791e+28,1.0380206085652314e+29,1.1603982955957155e+29,1.2972037292040168e+29,1.4501378720113845e+29,1.6211022220326768e+29,1.8122224548443837e+29,2.0258748530516826e+29,2.264715851663807e+29,2.5317150667284976e+29,2.8301922178851654e+29,3.163858403911275e+29
15,15.0,9.994998749374608e+27,1.1173361508965404e+28,1.2490647626928537e+28,1.396323550570788e+28,1.5609434483406765e+28,1.7449712481907747e+28,1.9506950493621692e+28,2.180672707101279e+28,2.437763635608396e+28,2.7251643604024186e+28,3.046448262140095e+28,3.4056100060423247e+28,3.807115209338239e+28,4.255955964264457e+28,4.757712906961559e+28,5.318624603997914e+28,5.945665119234261e+28,6.646630725452271e+28,7.430236838871242e+28,8.306226381782724e+28,9.285490920623791e+28,1.0380206085652314e+29,1.1603982955957155e+29,1.2972037292040168e+29,1.4501378720113845e+29,1.6211022220326768e+29,1.8122224548443837e+29,2.0258748530516826e+29,2.264715851663807e+29,2.5317150667284976e+29,2.8301922178851654e+29,3.163858403911275e+29
16,16.0,9.994998749374608e+27,1.1173361508965404e+28,1.2490647626928537e+28,1.396323550570788e+28,1.5609434483406765e+28,1.7449712481907747e+28,1.9506950493621692e+28,2.180672707101279e+28,2.437763635608396e+28,2.7251643604024186e+28,3.046448262140095e+28,3.4056100060423247e+28,3.807115209338239e+28,4.255955964264457e+28,4.757712906961559e+28,5.318624603997914e+28,5.945665119234261e+28,6.646630725452271e+28,7.430236838871242e+28,8.306226381782724e+28,9.285490920623791e+28,1.0380206085652314e+29,1.1603982955957155e+29,1.2972037292040168e+29,1.4501378720113845e+29,1.6211022220326768e+29,1.8122224548443837e+29,2.0258748530516826e+29,2.264715851663807e+29,2.5317150667284976e+29,2.8301922178851654e+29,3.163858403911275e+29
17,17.0,9.994998749374608e+27,1.1173361508965404e+28,1.2490647626928537e+28,1.396323550570788e+28,1.5609434483406765e+28,1.7449712481907747e+28,1.9506950493621692e+28,2.180672707101279e+28,2.437763635608396e+28,2.7251643604024186e+28,3.046448262140095e+28,3.4056100060423247e+28,3.807115209338239e+28,4.255955964264457e+28,4.757712906961559e+28,5.318624603997914e+28,5.945665119234261e+28,6.646630725452271e+28,7.430236838871242e+28,8.306226381782724e+28,9.285490920623791e+28,1.0380206085652314e+29,1.1603982955957155e+29,1.2972037292040168e+29,1.4501378720113845e+29,1.6211022220326768e+29,1.8122224548443837e+29,2.0258748530516826e+29,2.264715851663807e+29,2.5317150667284976e+29,2.8301922178851654e+29,3.163858403911275e+29
18,18.0,9.994998749374608e+27,1.1173361508965404e+28,1.2490647626928537e+28,1.396323550570788e+28,1.5609434483406765e+28,1.7449712481907747e+28,1.9506950493621692e+28,2.180672707101279e+28,2.437763635608396e+28,2.7251643604024186e+28,3.046448262140095e+28,3.4056100060423247e+28,3.807115209338239e+28,4.255955964264457e+28,4.757712906961559e+28,5.318624603997914e+28,5.945665119234261e+28,6.646630725452271e+28,7.430236838871242e+28,8.306226381782724e+28,9.285490920623791e+28,1.0380206085652314e+29,1.1603982955957155e+29,1.2972037292040168e+29,1.4501378720113845e+29,1.6211022220326768e+29,1.8122224548443837e+29,2.0258748530516826e+29,2.264715851663807e+29,2.5317150667284976e+29,2.8301922178851654e+29,3.163858403911275e+29
19,19.0,9.994998749374608e+27,1.1173361508965404e+28,1.2490647626928537e+28,1.396323550570788e+28,1.5609434483406765e+28,1.7449712481907747e+28,1.9506950493621692e+28,2.180672707101279e+28,2.437763635608396e+28,2.7251643604024186e+28,3.046448262140095e+28,3.4056100060423247e+28,3.807115209338239e+28,4.255955964264457e+28,4.757712906961559e+28,5.318624603997914e+28,5.945665119234261e+28,6.646630725452271e+28,7.430236838871242e+28,8.306226381782724e+28,9.285490920623791e+28,1.0380206085652314e+29,1.1603982955957155e+29,1.2972037292040168e+29,1.4501378720113845e+29,1.6211022220326768e+29,1.8122224548443837e+29,2.0258748530516826e+29,2.264715851663807e+29,2.5317150667284976e+29,2.8301922178851654e+29,3.163858403911275e+29
20,20.0,9.994998749374608e+27,1.1173361508965404e+28,1.2490647626928537e+28,1.396323550570788e+28,1.5609434483406765e+28,1.7449712481907747e+28,1.9506950493621692e+28,2.180672707101279e+28,2.437763635608396e+28,2.7251643604024186e+28,3.046448262140095e+28,3.4056100060423247e+28,3.807115209338239e+28,4.255955964264457e+28,4.757712906961559e+28,5.318624603997914e+28,5.945665119234261e+28,6.646630725452271e+28,7.430236838871242e+28,8.306226381782724e+28,9.285490920623791e+28,1.0380206085652314e+29,1.1603982955957155e+29,1.2972037292040168e+29,1.4501378720113845e+29,1.6211022220326768e+29,1.8122224548443837e+29,2.0258748530516826e+29,2.264715851663807e+29,2.5317150667284976e+29,2.8301922178851654e+29,3.163858403911275e+29
21,21.0,9.994998749374608e+27,1.1173361508965404e+28,1.2490647626928537e+28,1.396323550570788e+28,1.5609434483406765e+28,1.7449712481907747e+28,1.9506950493621692e+28,2.180672707101279e+28,2.437763635608396e+28,2.7251643604024186e+28,3.046448262140095e+28,3.4056100060423247e+28,3.807115209338239e+28,4.255955964264457e+28,4.757712906961559e+28,5.318624603997914e+28,5.945665119234261e+28,6.646630725452271e+28,7.430236838871242e+28,8.306226381782724e+28,9.285490920623791e+28,1.0380206085652314e+29,1.1603982955957155e+29,1.2972037292040168e+29,1.4501378720113845e+29,1.6211022220326768e+29,1.8122224548443837e+29,2.0258748530516826e+29,2.264715851663807e+29,2.5317150667284976e+29,2.8301922178851654e+29,3.163858403911275e+29
22,22.0,9.994998749374608e+27,1.1173361508965404e+28,1.2490647626928537e+28,1.396323550570788e+28,1.5609434483406765e+28,1.7449712481907747e+28,1.9506950493621692e+28,2.180672707101279e+28,2.437763635608396e+28,2.7251643604024186e+28,3.046448262140095e+28,3.4056100060423247e+28,3.807115209338239e+28,4.255955964264457e+28,4.757712906961559e+28,5.318624603997914e+28,5.945665119234261e+28,6.646630725452271e+28,7.430236838871242e+28,8.306226381782724e+28,9.285490920623791e+28,1.0380206085652314e+29,1.1603982955957155e+29,1.2972037292040168e+29,1.4501378720113845e+29,1.6211022220326768e+29,1.8122224548443837e+29,2.0258748530516826e+29,2.264715851663807e+29,2.5317150667284976e+29,2.8301922178851654e+29,3.163858403911275e+29
23,23.0,9.994998749374608e+27,1.1173361508965404e+28,1.2490647626928537e+28,1.396323550570788e+28,1.5609434483406765e+28,1.7449712481907747e+28,1.9506950493621692e+28,2.180672707101279e+28,2.437763635608396e+28,2.7251643604024186e+28,3.046448262140095e+28,3.4056100060423247e+28,3.807115209338239e+28,4.255955964264457e+28,4.757712906961559e+28,5.318624603997914e+28,5.945665119234261e+28,6.646630725452271e+28,7.430236838871242e+28,8.306226381782724e+28,9.285490920623791e+28,1.0380206085652314e+29,1.1603982955957155e+29,1.2972037292040168e+29,1.4501378720113845e+29,1.6211022220326768e+29,1.8122224548443837e+29,2.0258748530516826e+29,2.264715851663807e+29,2.5317150667284976e+29,2.8301922178851654e+29,3.163858403911275e+29
24,24.0,9.994998749374608e+27,1.1173361508965404e+28,1.2490647626928537e+28,1.396323550570788e+28,1.5609434483406765e+28,1.7449712481907747e+28,1.9506950493621692e+28,2.180672707101279e+28,2.437763635608396e+28,2.7251643604024186e+28,3.046448262140095e+28,3.4056100060423247e+28,3.807115209338239e+28,4.255955964264457e+28,4.757712906961559e+28,5.318624603997914e+28,5.945665119234261e+28,6.646630725452271e+28,7.430236838871242e+28,8.306226381782724e+28,9.285490920623791e+28,1.0380206085652314e+29,1.1603982955957155e+29,1.2972037292040168e+29,1.4501378720113845e+29,1.6211022220326768e+29,1.8122224548443837e+29,2.0258748530516826e+29,2.264715851663807e+29,2.5317150667284976e+29,2.8301922178851654e+29,3.163858403911275e+29
25,25.0,9.994998749374608e+27,1.1173361508965404e+28,1.2490647626928537e+28,1.396323550570788e+28,1.5609434483406765e+28,1.7449712481907747e+28,1.9506950493621692e+28,2.180672707101279e+28,2.437763635608396e+28,2.7251643604024186e+28,3.046448262140095e+28,3.4056100060423247e+28,3.807115209338239e+28,4.255955964264457e+28,4.757712906961559e+28,5.318624603997914e+28,5.945665119234261e+28,6.646630725452271e+28,7.430236838871242e+28,8.306226381782724e+28,9.285490920623791e+28,1.0380206085652314e+29,1.1603982955957155e+29,1.2972037292040168e+29,1.4501378720113845e+29,1.6211022220326768e+29,1.8122224548443837e+29,2.0258748530516826e+29,2.264715851663807e+29,2.5317150667284976e+29,2.8301922178851654e+29,3.163858403911275e+29
26,26.0,9.994998749374608e+27,1.1173361508965404e+28,1.2490647626928537e+28,1.396323550570788e+28,1.5609434483406765e+28,1.7449712481907747e+28,1.9506950493621692e+28,2.180672707101279e+28,2.437763635608396e+28,2.7251643604024186e+28,3.046448262140095e+28,3.4056100060423247e+28,3.807115209338239e+28,4.255955964264457e+28,4.757712906961559e+28,5.318624603997914e+28,5.945665119234261e+28,6.646630725452271e+28,7.430236838871242e+28,8.306226381782724e+28,9.285490920623791e+28,1.0380206085652314e+29,1.1603982955957155e+29,1.2972037292040168e+29,1.4501378720113845e+29,1.6211022220326768e+29,1.8122224548443837e+29,2.0258748530516826e+29,2.264715851663807e+29,2.5317150667284976e+29,2.8301922178851654e+29,3.163858403911275e+29
27,27.0,9.994998749374608e+27,1.1173361508965404e+28,1.2490647626928537e+28,1.396323550570788e+28,1.5609434483406765e+28,1.7449712481907747e+28,1.9506950493621692e+28,2.180672707101279e+28,2.437763635608396e+28,2.7251643604024186e+28,3.046448262140095e+28,3.4056100060423247e+28,3.807115209338239e+28,4.255955964264457e+28,4.757712906961559e+28,5.318624603997914e+28,5.945665119234261e+28,6.646630725452271e+28,7.430236838871242e+28,8.306226381782724e+28,9.285490920623791e+28,1.0380206085652314e+29,1.1603982955957155e+29,1.2972037292040168e+29,1.4501378720113845e+29,1.6211022220326768e+29,1.8122224548443837e+29,2.0258748530516826e+29,2.264715851663807e+29,2.5317150667284976e+29,2.8301922178851654e+29,3.163858403911275e+29
28,28.0,9.994998749374608e+27,1.1173361508965404e+28,1.2490647626928537e+28,1.396323550570788e+28,1.5609434483406765e+28,1.7449712481907747e+28,1.9506950493621692e+28,2.180672707101279e+28,2.437763635608396e+28,2.7251643604024186e+28,3.046448262140095e+28,3.4056100060423247e+28,3.807115209338239e+28,4.255955964264457e+28,4.757712906961559e+28,5.318624603997914e+28,5.945665119234261e+28,6.646630725452271e+28,7.430236838871242e+28,8.306226381782724e+28,9.285490920623791e+28,1.0380206085652314e+29,1.1603982955957155e+29,1.2972037292040168e+29,1.4501378720113845e+29,1.6211022220326768e+29,1.8122224548443837e+29,2.0258748530516826e+29,2.264715851663807e+29,2.5317150667284976e+29,2.8301922178851654e+29,3.163858403911275e+29
29,29.0,9.994998749374608e+27,1.1173361508965404e+28,1.2490647626928537e+28,1.396323550570788e+28,1.5609434483406765e+28,1.7449712481907747e+28,1.9506950493621692e+28,2.180672707101279e+28,2.437763635608396e+28,2.7251643604024186e+28,3.046448262140095e+28,3.4056100060423247e+28,3.807115209338239e+28,4.255955964264457e+28,4.757712906961559e+28,5.318624603997914e+28,5.945665119234261e+28,6.646630725452271e+28,7.430236838871242e+28,8.306226381782724e+28,9.285490920623791e+28,1.0380206085652314e+29,1.1603982955957155e+29,1.2972037292040168e+29,1.4501378720113845e+29,1.6211022220326768e+29,1.8122224548443837e+29,2.0258748530516826e+29,2.264715851663807e+29,2.5317150667284976e+29,2.8301922178851654e+29,3.163858403911275e+29
30,30.0,9.994998749374608e+27,1.1173361508965404e+28,1.2490647626928537e+28,1.396323550570788e+28,1.5609434483406765e+28,1.7449712481907747e+28,1.9506950493621692e+28,2.180672707101279e+28,2.437763635608396e+28,2.7251643604024186e+28,3.046448262140095e+28,3.4056100060423247e+28,3.807115209338239e+28,4.255955964264457e+28,4.757712906961559e+28,5.318624603997914e+28,5.945665119234261e+28,6.646630725452271e+28,7.430236838871242e+28,8.306226381782724e+28,9.285490920623791e+28,1.0380206085652314e+29,1.1603982955957155e+29,1.2972037292040168e+29,1.4501378720113845e+29,1.6211022220326768e+29,1.8122224548443837e+29,2.0258748530516826e+29,2.264715851663807e+29,2.5317150667284976e+29,2.8301922178851654e+29,3.163858403911275e+29
31,31.0,9.994998749374608e+27,1.1173361508965404e+28,1.2490647626928537e+28,1.396323550570788e+28,1.5609434483406765e+28,1.7449712481907747e+28,1.9506950493621692e+28,2.180672707101279e+28,2.437763635608396e+28,2.7251643604024186e+28,3.046448262140095e+28,3.4056100060423247e+28,3.807115209338239e+28,4.255955964264457e+28,4.757712906961559e+28,5.318624603997914e+28,5.945665119234261e+28,6.646630725452271e+28,7.430236838871242e+28,8.306226381782724e+28,9.285490920623791e+28,1.0380206085652314e+29,1.1603982955957155e+29,1.2972037292040168e+29,1.4501378720113845e+29,1.6211022220326768e+29,1.8122224548443837e+29,2.0258748530516826e+29,2.264715851663807e+29,2.5317150667284976e+29,2.8301922178851654e+29,3.163858403911275e+29
32,32.0,9.994998749374608e+27,1.1173361508965404e+28,1.2490647626928537e+28,1.396323550570788e+28,1.5609434483406765e+28,1.7449712481907747e+28,1.9506950493621692e+28,2.180672707101279e+28,2.437763635608396e+28,2.7251643604024186e+28,3.046448262140095e+28,3.4056100060423247e+28,3.807115209338239e+28,4.255955964264457e+28,4.757712906961559e+28,5.318624603997914e+28,5.945665119234261e+28,6.646630725452271e+28,7.430236838871242e+28,8.306226381782724e+28,9.285490920623791e+28,1.0380206085652314e+29,1.1603982955957155e+29,1.2972037292040168e+29,1.4501378720113845e+29,1.6211022220326768e+29,1.8122224548443837e+29,2.0258748530516826e+29,2.264715851663807e+29,2.5317150667284976e+29,2.8301922178851654e+29,3.163858403911275e+29
33,33.0,9.994998749374608e+27,1.1173361508965404e+28,1.2490647626928537e+28,1.396323550570788e+28,1.5609434483406765e+28,1.7449712481907747e+28,1.9506950493621692e+28,2.180672707101279e+28,2.437763635608396e+28,2.7251643604024186e+28,3.046448262140095e+28,3.4056100060423247e+28,3.807115209338239e+28,4.255955964264457e+28,4.757712906961559e+28,5.318624603997914e+28,5.945665119234261e+28,6.646630725452271e+28,7.430236838871242e+28,8.306226381782724e+28,9.285490920623791e+28,1.0380206085652314e+29,1.1603982955957155e+29,1.2972037292040168e+29,1.4501378720113845e+29,1.6211022220326768e+29,1.8122224548443837e+29,2.0258748530516826e+29,2.264715851663807e+29,2.5317150667284976e+29,2.8301922178851654e+29,3.163858403911275e+29
34,34.0,9.994998749374608e+27,1.1173361508965404e+28,1.2490647626928537e+28,1.396323550570788e+28,1.5609434483406765e+28,1.7449712481907747e+28,1.9506950493621692e+28,2.180672707101279e+28,2.437763635608396e+28,2.7251643604024186e+28,3.046448262140095e+28,3.4056100060423247e+28,3.807115209338239e+28,4.255955964264457e+28,4.757712906961559e+28,5.318624603997914e+28,5.945665119234261e+28,6.646630725452271e+28,7.430236838871242e+28,8.306226381782724e+28,9.285490920623791e+28,1.0380206085652314e+29,1.1603982955957155e+29,1.2972037292040168e+29,1.4501378720113845e+29,1.6211022220326768e+29,1.8122224548443837e+29,2.0258748530516826e+29,2.264715851663807e+29,2.5317150667284976e+29,2.8301922178851654e+29,3.163858403911275e+29
35,35.0,9.994998749374608e+27,1.1173361508965404e+28,1.2490647626928537e+28,1.396323550570788e+28,1.5609434483406765e+28,1.7449712481907747e+28,1.9506950493621692e+28,2.180672707101279e+28,2.437763635608396e+28,2.7251643604024186e+28,3.046448262140095e+28,3.4056100060423247e+28,3.807115209338239e+28,4.255955964264457e+28,4.757712906961559e+28,5.318624603997914e+28,5.945665119234261e+28,6.646630725452271e+28,7.430236838871242e+28,8.306226381782724e+28,9.285490920623791e+28,1.0380206085652314e+29,1.1603982955957155e+29,1.2972037292040168e+29,1.4501378720113845e+29,1.6211022220326768e+29,1.8122224548443837e+29,2.0258748530516826e+29,2.264715851663807e+29,2.5317150667284976e+29,2.8301922178851654e+29,3.163858403911275e+29
36,36.0,9.994998749374608e+27,1.1173361508965404e+28,1.2490647626928537e+28,1.396323550570788e+28,1.5609434483406765e+28,1.7449712481907747e+28,1.9506950493621692e+28,2.180672707101279e+28,2.437763635608396e+28,2.7251643604024186e+28,3.046448262140095e+28,3.4056100060423247e+28,3.807115209338239e+28,4.255955964264457e+28,4.757712906961559e+28,5.318624603997914e+28,5.945665119234261e+28,6.646630725452271e+28,7.430236838871242e+28,8.306226381782724e+28,9.285490920623791e+28,1.0380206085652314e+29,1.1603982955957155e+29,1.2972037292040168e+29,1.4501378720113845e+29,1.6211022220326768e+29,1.8122224548443837e+29,2.0258748530516826e+29,2.264715851663807e+29,2.5317150667284976e+29,2.8301922178851654e+29,3.163858403911275e+29
